label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-0.94,10.40,0.51
3,1,1,1,1,0,1,1,1,0,1,0,0,0,0,-1.41,10.20,1.33
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.39,9.06,2.16
3,1,0,1,1,0,1,1,1,0,1,0,0,0,0,-1.77,10.16,1.45
3,1,1,1,1,0,1,1,1,0,1,1,0,1,0,-1.14,10.28,1.26
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-0.71,10.16,1.61
3,1,1,1,1,0,1,1,1,0,1,0,0,0,0,-1.22,10.20,1.29
3,1,0,1,1,0,1,0,1,0,1,0,0,0,0,-1.73,10.12,2.00
3,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-1.41,10.36,0.35
3,1,1,1,1,0,1,1,1,0,1,1,0,1,0,-0.59,10.08,2.20
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-0.82,10.24,1.69
3,1,1,1,1,0,1,1,1,0,1,0,0,0,0,-1.57,10.24,0.82
3,1,1,1,1,0,1,1,1,0,1,1,0,1,0,-1.22,10.28,1.37
3,1,1,1,1,0,1,0,1,0,1,0,0,1,0,-0.75,10.51,-0.20
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-5.06,8.90,1.33
3,1,1,0,1,0,1,0,1,0,1,0,0,0,0,-1.77,10.16,1.53
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.06,10.20,1.33
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.20,9.10,2.24
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1.33,10.40,0.71
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.26,10.08,2.00
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.43,9.06,2.24
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.10,10.40,0.55
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.06,10.24,1.14
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1.14,10.55,0.12
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.08,8.71,2.98
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-0.82,10.36,0.67
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1.22,10.32,0.67
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1.18,10.40,0.24
3,1,1,1,1,0,1,1,1,0,1,0,0,0,0,-1.06,10.40,0.67
3,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-1.14,10.20,1.10
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.28,8.71,2.82
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.02,10.24,1.41
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1.29,10.32,0.67
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.82,8.90,1.92
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.55,8.90,2.16
3,1,1,1,1,0,1,1,1,0,1,1,0,1,0,-1.41,10.28,0.94
3,1,1,1,1,0,1,0,1,0,1,0,0,1,0,-0.59,10.36,1.26
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.28,9.10,2.08
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-5.10,8.04,3.14
3,1,1,1,1,0,1,1,1,0,1,1,0,1,0,-1.61,10.32,0.35
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.35,9.02,2.20
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-0.75,10.40,0.90
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.24,9.02,2.47
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.12,8.83,2.75
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.59,8.90,2.24
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.18,10.16,1.80
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.86,8.90,1.96
3,1,1,1,1,0,1,1,1,0,1,1,0,1,0,-1.33,10.36,0.55
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-0.67,10.24,1.53
3,1,1,0,1,0,1,0,1,0,1,0,0,0,0,-1.73,10.32,0.31
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.14,10.04,2.12
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1.02,10.55,0.51
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-0.78,10.12,1.61
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.26,10.20,1.80
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.22,10.28,1.26
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.90,8.55,2.20
3,1,1,1,1,0,1,1,1,0,1,1,0,1,0,-0.47,10.16,1.84
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1.41,10.40,0.35
3,1,1,1,1,0,1,1,1,0,1,1,0,1,0,-1.53,10.40,0.12
3,1,1,1,1,0,1,1,1,0,1,0,0,0,0,-1.22,10.36,0.90
3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-3.84,6.04,5.81
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.12,9.02,2.67
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.31,8.98,2.24
3,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-1.26,10.32,1.26
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.53,10.12,1.18
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.26,10.28,1.22
3,1,1,1,1,0,1,1,1,1,1,1,0,1,0,-1.26,10.40,0.16
3,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-1.10,10.40,0.98
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1.26,10.43,0.47
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-0.90,10.40,1.02
3,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-1.29,10.36,1.02
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.43,8.79,2.67
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.26,10.24,1.22
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.28,9.02,2.31
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.14,10.08,1.69
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.47,9.02,2.08
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.35,8.98,2.39
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.55,8.98,2.08
3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-2.28,7.10,6.24
3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-2.28,6.67,6.51
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1.02,10.40,0.43
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.00,8.94,2.63
3,1,1,0,1,0,1,0,1,0,1,0,0,0,0,-1.37,10.00,2.20
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.12,9.18,2.12
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-4.16,9.02,2.43
3,1,1,1,1,0,1,1,1,0,1,1,0,1,0,-0.71,10.32,1.33
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-5.14,8.00,3.26
3,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0.04,10.28,0.59
3,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-0.98,10.32,1.26
3,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-1.29,10.24,1.26
3,1,0,1,1,0,1,1,1,0,1,0,0,0,0,-1.41,10.16,1.33
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1.22,10.36,1.18
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-0.94,10.24,1.37
3,1,1,1,1,0,1,1,1,0,1,0,0,0,0,-1.65,10.08,2.00
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1.33,10.12,2.08
3,1,1,1,1,0,1,1,1,0,1,0,0,0,0,-0.98,10.28,1.49
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-1.33,10.24,1.45
3,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0.35,10.59,0.12
3,1,0,1,1,0,1,1,1,0,1,0,0,0,0,-1.29,10.36,0.55
3,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1.57,10.36,0.20
3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,-0.82,10.16,1.65
