label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-2.79,3.77,8.12
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.51,9.49,2.98
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.06,9.41,2.67
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.77,6.86,6.32
5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1.73,6.43,6.35
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.43,10.20,0.04
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.02,9.30,2.86
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.63,9.22,3.22
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-2.31,9.57,2.67
5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1.80,2.71,-9.49
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-3.18,9.96,1.14
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.94,9.38,2.86
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.06,9.45,2.47
5,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-1.73,0.98,-10.43
5,1,1,1,1,1,1,1,1,1,1,0,0,1,0,-4.82,7.22,2.31
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-4.86,5.61,3.06
5,1,0,1,1,0,1,1,1,0,1,1,1,1,0,-2.94,9.65,2.16
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-3.65,9.96,-0.20
5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-2.08,0.90,-10.55
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-2.98,9.96,0.59
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.10,9.53,2.43
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.28,9.65,2.67
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-5.14,8.47,2.39
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-3.49,9.77,1.02
5,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-3.26,7.73,4.16
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-3.06,9.96,0.43
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-2.90,9.45,2.63
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.86,9.26,2.82
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.31,9.57,2.71
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-2.63,9.41,2.94
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-3.26,9.81,1.14
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-3.45,9.89,1.22
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-3.53,9.77,1.18
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-3.37,10.00,0.31
5,1,1,0,1,0,1,1,1,1,1,1,1,1,0,-11.53,4.39,-5.06
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-3.14,10.04,0.12
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-2.79,9.02,3.69
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.98,9.22,3.18
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-2.20,9.45,3.14
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-3.77,9.65,1.29
5,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2.31,8.98,-5.84
5,1,0,0,0,0,1,1,1,0,1,0,1,1,0,-3.22,9.92,1.10
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-7.65,8.87,8.51
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.86,9.41,2.98
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.75,9.38,2.94
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-3.26,9.85,1.10
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-3.22,9.89,1.29
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-2.51,10.20,-0.43
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-3.30,9.92,0.63
5,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-1.10,3.80,-6.71
5,1,1,1,1,0,1,1,1,1,1,0,0,1,0,-5.61,8.32,0.67
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-3.18,9.81,0.90
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.90,9.53,2.47
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-2.79,9.34,3.30
5,0,0,1,1,0,1,1,1,0,1,0,0,1,0,-4.79,7.30,6.00
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-2.35,9.65,2.59
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.92,10.43,-0.39
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-3.06,9.53,2.35
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-3.26,9.96,1.18
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.43,9.49,2.63
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-3.18,10.12,0.71
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-3.26,10.00,0.12
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-5.49,5.96,5.96
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-3.37,9.85,0.98
5,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.30,10.08,0.31
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.92,10.36,-0.43
5,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2.51,7.30,-7.88
5,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-1.29,10.28,4.55
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.02,9.45,2.47
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-3.30,9.89,0.67
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.35,9.57,2.71
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-4.08,9.45,2.08
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.98,9.26,3.02
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.98,9.34,2.86
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-2.82,9.30,3.06
5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-2.86,1.88,-10.08
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.06,9.10,3.06
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-3.33,9.96,0.75
5,1,0,1,1,0,1,1,1,1,1,0,0,1,0,-2.94,9.85,1.88
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.86,9.45,2.55
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-2.20,9.57,2.82
5,1,0,1,1,0,1,1,1,1,1,1,0,1,0,-2.08,8.28,4.67
5,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.98,9.73,1.92
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.79,9.38,2.86
5,1,1,1,1,0,1,1,1,0,1,1,0,1,0,-4.04,7.69,4.82
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-3.45,9.77,1.10
5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-3.33,9.96,0.24
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.71,9.61,2.35
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.90,9.22,3.14
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.94,9.30,3.06
5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-2.79,6.79,6.28
5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1.80,1.10,-10.59
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-3.65,9.69,1.45
5,1,0,0,0,0,1,0,1,0,1,0,0,1,0,-5.69,5.37,5.73
5,1,0,1,1,0,1,1,1,0,1,0,1,1,0,-2.90,9.69,2.08
5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.86,9.85,1.45
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-2.47,9.30,3.06
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-2.82,9.53,2.47
5,1,0,1,1,0,1,1,1,0,1,1,1,1,0,-2.94,9.53,2.55
5,1,0,1,1,0,1,1,1,0,1,1,0,1,0,-3.18,9.38,2.71
5,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.02,9.41,2.63
