label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-5.02,8.12,3.06
6,1,1,1,1,0,1,0,1,0,0,0,0,0,0,-5.65,7.41,3.84
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.71,7.69,4.28
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-4.55,8.24,3.57
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-5.26,8.32,4.67
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-2.63,9.14,3.02
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-4.67,8.00,3.73
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.94,7.06,4.94
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.39,8.00,4.12
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-3.02,9.30,2.94
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-3.57,9.18,2.82
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.94,6.94,5.06
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-4.63,8.28,3.41
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-4.04,8.90,2.43
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-5.06,8.43,3.49
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.86,7.41,4.82
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.75,7.85,4.12
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-4.55,8.51,3.06
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-1.53,9.22,3.18
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-5.49,6.94,4.55
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-6.24,6.55,4.86
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-2.79,10.75,1.80
6,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-0.94,7.77,-7.49
6,1,1,1,1,0,1,0,1,0,0,0,0,0,0,-4.71,8.08,3.49
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-4.98,6.83,4.94
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.63,7.81,4.16
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.47,7.61,4.39
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.71,7.88,3.92
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.71,8.04,3.65
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.67,6.55,5.81
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-5.88,13.81,3.30
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.79,7.73,4.04
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-4.82,9.30,1.22
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-5.14,8.28,2.71
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-3.57,9.34,2.28
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-4.55,9.45,1.69
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-5.14,8.28,3.22
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-6.04,7.37,3.53
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-3.80,9.06,2.55
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-3.14,9.22,2.55
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.94,7.53,4.04
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-4.31,9.49,2.79
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.67,7.85,4.24
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-4.75,8.51,3.18
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.90,7.61,4.08
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-4.71,8.24,3.41
6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-4.55,8.59,2.98
6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-4.82,7.85,3.84
