label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.69,8.55,4.82
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.90,8.47,5.06
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.90,7.61,5.53
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.24,8.90,5.06
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.69,8.20,5.06
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.88,8.67,4.55
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.31,8.98,4.43
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.57,8.47,4.94
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.77,8.47,4.86
12,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.00,7.45,6.12
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-2.04,8.32,5.06
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.86,8.08,5.41
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.55,8.47,5.06
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.57,8.32,5.02
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.39,8.59,4.63
12,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.63,8.08,5.73
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.43,8.39,4.63
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.35,8.98,4.43
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.14,8.59,4.86
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.65,8.36,5.02
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.08,8.20,5.37
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.43,8.83,4.63
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-4.67,7.92,5.10
12,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.41,8.28,5.14
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.77,8.32,4.90
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.88,8.12,5.10
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.43,7.85,5.30
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.90,8.39,4.98
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0.90,7.14,7.26
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-2.12,8.32,4.94
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.43,8.98,4.51
12,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.63,9.14,3.73
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.43,8.90,4.39
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.18,7.30,6.63
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.24,8.24,4.94
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.65,8.47,4.94
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.80,6.24,7.96
12,0,0,0,0,0,1,0,1,0,1,1,1,1,0,-2.28,7.73,5.53
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.55,7.85,5.69
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.88,8.47,4.94
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.57,7.96,5.53
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.24,8.16,5.06
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.45,8.39,4.98
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.47,8.90,4.63
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.35,8.16,5.10
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.96,8.36,4.90
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.53,8.36,5.02
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.39,8.94,4.43
12,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1.73,8.36,6.04
12,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.29,9.26,4.31
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.16,8.32,4.94
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.31,8.94,4.39
12,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.63,9.10,4.04
12,0,0,0,0,0,1,0,1,0,1,0,1,1,0,-2.16,7.81,5.45
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.08,8.39,4.86
12,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1.10,8.00,5.65
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.26,8.79,4.47
12,0,0,0,0,0,1,0,1,0,1,0,1,1,0,-1.92,7.69,5.69
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.16,8.98,4.43
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.02,8.43,5.02
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.14,8.12,5.37
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.31,8.98,4.55
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.45,8.43,4.90
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.28,8.32,4.94
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.61,8.32,4.98
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.16,8.32,4.90
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-2.12,8.20,5.02
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.98,7.53,5.81
12,1,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.63,6.79,7.18
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-2.00,8.28,5.02
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.69,8.55,5.02
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.96,8.12,5.22
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.12,8.32,4.79
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.35,8.87,4.59
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.90,7.96,5.69
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1.69,8.43,4.86
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-0.98,8.51,4.98
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.92,8.39,4.94
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.41,8.08,4.67
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.63,8.94,4.35
12,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.47,8.08,4.71
