label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.04,9.61,0.82
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.82,8.90,2.55
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.92,9.02,2.59
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.86,9.26,0.12
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.20,8.90,2.90
14,0,0,1,1,0,1,0,1,0,1,0,0,1,0,-4.16,6.32,6.04
14,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-4.79,7.30,4.79
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.86,8.55,2.55
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.12,9.57,0.51
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.00,9.77,-0.12
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.14,9.10,0.55
14,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-2.55,8.59,4.35
14,0,0,1,1,0,1,1,1,0,1,1,0,1,0,-3.45,6.51,6.16
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.80,9.89,-0.20
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.14,9.14,0.35
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.98,9.22,0.47
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.08,8.79,2.94
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.90,8.87,1.92
14,1,0,1,1,0,1,1,1,0,1,0,1,1,0,-2.28,7.34,5.88
14,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.92,7.37,5.57
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.43,9.73,-0.31
14,0,0,1,1,0,1,1,1,0,1,1,0,1,0,-4.35,6.08,5.96
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.69,8.94,2.67
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.73,8.59,3.69
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.16,8.90,2.82
14,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.47,7.73,5.84
14,0,0,1,1,0,1,1,1,0,1,0,0,1,0,-4.47,6.98,5.26
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.12,9.53,1.29
14,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.55,9.02,3.65
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.31,9.10,2.24
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.00,8.94,2.47
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.80,9.02,2.63
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.16,8.98,2.63
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.10,9.14,0.39
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.92,9.49,0.86
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.84,9.30,2.04
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.10,9.14,0.20
14,0,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.49,6.39,6.32
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.51,9.06,1.65
14,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.31,7.49,5.81
14,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.20,7.81,8.36
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.55,8.87,2.24
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.31,9.18,1.73
14,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.67,8.75,4.04
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.79,8.63,2.55
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.71,9.10,0.82
14,0,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.65,6.43,6.24
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.28,8.55,3.45
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.88,8.71,3.26
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.73,8.87,3.33
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-5.26,8.59,2.63
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.14,8.98,0.75
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.28,9.06,2.71
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.39,9.10,2.04
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.35,8.63,3.22
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.24,9.10,2.16
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.90,9.14,1.37
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.00,9.30,1.84
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.28,8.71,2.67
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-5.45,8.79,1.10
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.02,9.10,0.27
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.71,8.55,2.55
14,0,0,1,1,0,1,0,1,0,1,0,0,1,0,-3.10,6.00,6.67
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.39,8.94,2.43
14,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-1.88,7.96,6.04
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.31,8.94,2.47
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.47,8.94,2.24
14,1,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.69,7.30,4.90
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.59,8.39,2.90
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.96,9.89,-0.39
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.02,9.10,0.63
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.06,9.14,0.39
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.35,8.75,3.06
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.82,9.30,0.16
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.98,9.06,0.78
14,0,0,1,1,0,1,1,1,0,1,1,0,1,0,-3.84,6.71,5.53
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.43,8.55,3.22
14,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-2.59,7.57,5.10
14,0,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.88,6.43,6.00
14,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.31,8.12,5.06
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.80,9.61,1.06
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.98,9.26,0.31
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.94,8.98,1.29
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.69,8.83,3.14
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-5.14,8.87,0.98
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-5.02,9.18,0.39
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.90,9.26,0.94
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.02,9.14,0.39
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.00,9.65,0.20
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.88,8.63,3.49
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.08,8.94,2.67
14,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.39,7.49,5.06
14,0,0,1,1,0,1,1,1,0,1,1,0,1,0,-3.30,6.63,6.00
14,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.94,8.00,5.06
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.98,9.18,0.35
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.96,8.98,2.94
14,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.73,8.59,3.65
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.28,8.87,2.63
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.31,8.71,2.82
14,0,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.92,6.16,6.04
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.69,8.90,3.18
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.81,9.10,0.12
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.35,9.02,2.12
14,0,0,1,1,0,1,1,1,0,1,0,0,1,0,-3.49,6.51,5.84
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-5.18,8.94,1.02
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.47,9.02,2.16
14,0,0,1,1,0,1,1,1,0,1,0,0,1,0,-4.67,6.90,5.06
