label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.18,6.63,-8.75
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.37,7.65,-7.65
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.22,6.63,-8.75
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-1.22,7.88,-7.37
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.10,6.55,-8.55
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.04,6.98,-8.08
17,1,1,1,1,1,1,1,1,1,0,1,1,0,0,-1.10,6.59,-8.71
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-2.35,6.35,-8.63
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-1.65,6.86,-8.20
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.20,6.67,-8.24
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.14,7.85,-7.45
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.37,6.86,-8.32
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-1.18,7.53,-7.92
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.43,6.63,-8.32
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.53,5.49,-9.45
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.18,6.67,-8.63
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.33,6.79,-8.75
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.02,7.53,-7.65
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.65,5.33,-9.49
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-2.16,7.10,-8.12
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.53,5.81,-9.02
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-2.28,6.83,-8.24
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-1.22,7.53,-7.92
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.02,7.81,-7.22
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-2.12,6.55,-8.47
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.12,6.55,-8.55
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.53,6.94,-8.32
17,1,1,1,1,1,1,0,1,1,0,0,1,0,0,-2.47,4.79,-9.61
17,1,1,1,1,1,1,0,1,1,0,0,1,0,0,-1.45,4.35,-9.53
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-2.16,5.65,-8.90
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.18,6.63,-8.71
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.14,7.57,-7.85
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.65,6.94,-8.28
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.08,6.43,-8.51
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.00,6.59,-8.51
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.31,7.34,-7.69
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.41,7.92,-7.53
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.35,7.18,-7.81
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.53,6.90,-8.28
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.10,7.77,-7.49
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.53,6.24,-8.87
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.47,6.94,-7.96
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.45,6.90,-8.43
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.73,5.57,-9.38
17,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.69,8.39,0.67
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.92,6.47,-8.63
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.14,7.92,-7.41
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-2.04,6.47,-8.67
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.28,6.90,-8.12
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-4.12,1.14,-10.00
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-1.26,7.53,-7.81
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.10,7.88,-7.49
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.22,7.85,-7.41
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.88,6.59,-8.36
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-6.75,1.96,-9.89
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-2.16,6.51,-8.55
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.47,7.18,-7.88
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.08,6.35,-8.67
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.73,7.18,-8.24
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.02,7.34,-8.12
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-0.94,7.26,-8.24
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.26,6.59,-8.71
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-0.90,7.34,-7.96
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-1.96,6.43,-8.47
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-0.98,7.57,-7.65
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-2.39,6.43,-8.55
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.08,7.10,-8.16
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-2.08,6.90,-8.20
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-1.26,7.53,-7.85
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.24,7.10,-7.88
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.00,7.06,-7.77
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.12,7.14,-8.00
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.31,6.39,-8.43
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.55,7.10,-7.77
17,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0.00,4.71,-9.85
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.92,7.10,-8.20
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.22,5.57,-9.02
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-0.90,7.34,-8.00
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-3.18,6.39,-9.18
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-1.41,7.88,-7.57
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-2.43,6.32,-8.75
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.22,7.85,-7.34
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1.92,6.86,-8.47
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-0.90,7.22,-7.88
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-2.31,6.59,-8.32
17,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-0.94,7.57,-7.88
17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-3.10,7.10,-7.81
17,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.53,5.77,-9.14
