label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-2.00,10.00,2.04
18,1,1,1,1,1,1,0,1,1,1,0,0,1,0,-8.20,4.35,3.18
18,1,1,0,1,0,1,0,1,1,1,1,0,1,0,-7.57,5.49,3.41
18,1,0,0,1,0,1,0,1,0,1,1,1,1,0,-1.80,9.85,2.55
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-1.45,10.00,2.39
18,1,1,1,1,0,1,0,1,1,1,0,0,1,0,-7.96,5.45,2.59
18,1,1,1,1,1,1,1,1,1,1,0,0,1,0,-9.10,3.84,1.84
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-1.96,9.89,2.16
18,1,0,0,1,0,1,0,1,0,1,1,1,1,0,-1.29,10.04,2.04
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-1.22,10.32,1.41
18,1,1,0,1,0,1,0,1,1,1,0,1,1,0,-6.08,7.69,2.86
18,1,0,0,1,0,1,0,1,0,1,1,1,1,0,-1.57,10.12,1.65
18,1,1,0,0,0,1,0,1,1,1,0,0,1,0,-7.49,3.73,4.98
18,1,1,0,1,0,1,0,1,0,1,1,0,1,0,-5.84,7.34,3.92
18,1,1,1,1,1,1,0,1,1,1,0,1,1,0,-7.37,6.71,2.12
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-1.53,10.08,1.65
18,1,0,0,0,0,1,0,1,0,1,0,1,1,0,-1.06,10.04,2.20
18,1,1,0,1,1,1,0,1,1,1,0,0,1,0,-8.08,5.06,2.63
18,1,1,0,1,0,1,0,1,1,1,1,1,1,0,-5.77,7.61,2.98
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-1.96,9.89,2.24
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-2.28,9.81,2.39
18,1,1,0,1,0,1,0,1,1,1,1,0,1,0,-5.69,7.22,3.96
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-2.24,9.92,2.00
18,1,1,1,1,1,1,0,1,1,1,1,1,1,0,-8.39,5.84,3.02
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-2.16,9.85,2.31
18,1,1,0,1,0,1,0,1,1,1,0,1,1,0,-5.65,7.49,3.30
18,1,0,0,0,0,1,0,1,0,1,0,1,1,0,-0.75,10.04,2.24
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-1.65,10.12,1.57
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-2.20,9.77,2.35
18,1,1,1,1,0,1,0,1,1,1,0,0,1,0,-8.04,5.45,2.59
18,1,0,0,1,0,1,0,1,0,1,1,1,1,0,-1.96,10.12,1.53
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-1.65,10.12,1.61
18,1,1,0,1,0,1,0,1,1,1,1,0,1,0,-5.53,5.84,4.98
18,1,1,0,1,0,1,0,1,0,1,0,1,1,0,-5.77,7.53,3.49
18,1,0,0,1,0,1,0,1,0,1,1,1,1,0,-2.04,9.81,2.20
18,1,1,0,1,0,1,0,1,1,1,0,1,1,0,-6.00,7.61,2.86
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-1.57,10.08,1.92
18,1,1,0,0,0,1,0,1,0,1,0,0,1,0,-5.61,7.02,4.55
18,1,1,1,1,1,1,1,1,1,1,0,0,1,0,-9.57,3.06,1.96
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-2.43,9.53,2.90
18,1,0,0,0,0,1,0,1,0,1,0,1,1,0,-0.71,10.04,1.92
18,1,1,0,1,0,1,0,1,0,1,0,0,1,0,-5.41,7.06,4.39
18,1,1,0,1,0,1,0,1,1,1,0,1,1,0,-5.96,7.57,2.86
18,1,1,0,1,0,1,0,1,0,1,1,0,1,0,-5.65,7.02,4.20
18,1,0,0,0,0,1,0,1,0,1,0,1,1,0,-1.02,10.20,1.53
18,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-1.65,10.16,1.57
