label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.08,4.98,7.65
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-0.63,6.00,7.30
24,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.71,4.63,7.73
24,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-0.12,7.49,6.12
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.04,5.26,7.57
24,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-0.55,6.39,6.98
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.96,4.35,7.77
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.24,4.75,7.77
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.61,5.10,7.57
24,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-1.45,5.33,7.49
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.35,4.08,8.04
24,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.86,3.92,7.85
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-3.22,5.18,7.22
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.51,5.57,7.30
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.77,5.88,7.18
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.80,5.06,7.49
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.63,5.10,7.34
24,1,1,0,0,0,1,0,1,0,0,0,0,1,0,-0.71,6.08,7.22
24,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0.59,8.08,5.61
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.29,4.35,8.00
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.90,4.47,7.61
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.10,5.92,7.34
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.12,5.96,7.06
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.00,5.26,7.30
24,1,1,0,0,0,1,0,1,0,0,0,0,1,0,-0.31,6.24,7.06
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.04,5.84,7.26
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.88,4.67,7.81
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.31,5.18,7.45
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.47,5.02,7.65
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.88,4.59,7.85
24,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-1.45,4.79,7.81
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.12,4.59,7.77
24,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-3.06,4.82,7.49
24,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-0.16,7.77,5.88
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.79,5.22,7.45
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.65,6.12,7.06
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.88,4.24,8.08
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.61,4.16,8.00
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.35,5.53,7.34
24,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.35,5.49,7.30
24,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-1.73,6.20,7.18
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-3.22,5.26,7.18
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.65,5.26,7.61
24,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.69,6.12,7.14
