label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-6.04,2.94,6.67
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.18,2.71,7.22
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-4.43,2.63,8.08
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.37,3.06,7.06
25,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.39,4.98,7.57
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.30,2.59,7.18
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.65,2.75,7.02
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.14,3.02,7.26
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.33,2.90,7.06
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.45,3.06,6.98
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.57,2.67,7.10
25,0,0,1,1,1,1,1,1,1,1,0,1,1,0,-4.39,3.84,7.37
25,0,0,1,1,1,1,1,1,1,1,1,1,1,0,-5.02,4.04,7.02
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.37,2.55,7.22
25,0,0,1,1,1,1,1,1,1,1,0,1,1,0,-4.51,3.77,7.34
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.53,2.43,7.41
25,0,0,1,1,0,1,1,1,1,1,0,1,1,0,-5.49,1.65,7.65
25,0,0,1,1,0,1,1,1,1,1,1,1,0,0,-4.71,1.69,7.73
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.57,2.75,7.02
25,0,0,1,1,1,1,1,1,1,1,0,1,1,0,-5.10,4.63,6.51
25,0,0,1,1,1,1,1,1,1,1,0,1,1,0,-4.43,3.69,7.45
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.53,3.06,6.98
25,0,0,1,1,1,1,1,1,1,1,0,1,1,0,-4.90,3.84,7.14
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.37,2.47,7.45
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-4.51,3.02,7.65
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-6.59,3.96,6.39
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.37,2.71,7.30
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.65,2.90,6.94
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.10,2.67,7.30
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.22,2.43,7.30
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.10,3.65,6.98
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-4.67,1.84,7.69
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-4.67,1.96,7.85
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.81,2.35,7.10
25,0,0,1,1,1,1,1,1,1,1,1,1,1,0,-4.98,3.96,7.14
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.33,2.59,7.22
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.53,3.02,6.98
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.33,3.53,6.98
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.41,2.59,7.26
25,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.04,4.90,7.69
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-4.71,2.71,7.57
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-4.67,2.08,7.73
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-4.59,2.79,7.41
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.53,2.90,6.98
25,0,0,1,1,0,1,1,1,1,1,0,1,0,0,-4.79,1.80,7.73
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.10,3.02,7.22
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.06,2.59,7.37
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.61,2.08,7.49
25,0,0,1,1,1,1,1,1,1,1,0,1,1,0,-4.86,3.92,6.94
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.33,2.75,7.02
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.61,3.10,6.98
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.37,2.63,7.22
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.45,2.67,7.14
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.45,2.79,7.14
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.18,2.55,7.37
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.10,2.63,7.37
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-4.55,3.45,7.34
25,0,0,1,1,0,1,1,1,1,1,0,1,0,0,-8.39,-0.71,6.16
25,0,0,1,1,1,1,1,1,1,1,0,1,1,0,-5.33,4.63,6.39
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.22,2.59,7.30
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-4.63,2.90,7.73
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.49,2.59,7.18
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-4.90,2.43,7.45
25,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.16,4.51,7.77
25,0,0,1,1,1,1,1,1,1,1,1,1,1,0,-4.98,3.69,7.22
25,0,0,1,1,1,1,1,1,1,1,0,1,1,0,-5.14,4.98,6.51
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.26,2.75,7.30
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.37,2.71,7.14
25,1,0,0,0,0,1,1,1,0,1,0,0,1,0,-1.84,4.94,7.81
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.14,2.55,7.37
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.06,3.22,7.14
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.49,2.55,7.18
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.45,2.94,7.02
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.06,1.96,7.65
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.33,2.98,6.90
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.14,3.06,7.22
25,0,0,1,1,1,1,1,1,1,1,0,1,1,0,-4.82,3.37,7.30
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-4.59,3.30,7.41
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.61,2.75,7.10
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.06,2.75,7.30
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.65,2.55,7.10
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.41,2.98,7.10
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.53,3.14,6.90
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.41,2.67,7.14
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.06,2.86,7.34
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.81,3.10,6.86
25,0,0,1,1,1,1,1,1,1,1,1,1,1,0,-5.14,4.20,6.75
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-4.24,2.94,7.10
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-4.43,2.94,7.61
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.02,2.63,7.37
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.92,2.90,6.71
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-5.57,3.02,6.90
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.18,3.45,7.10
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.57,3.06,6.94
25,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-4.98,2.59,7.34
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-5.14,2.75,7.37
25,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-4.90,2.12,7.73
25,0,0,1,1,1,1,1,1,1,1,0,1,1,0,-5.18,4.79,6.59
