label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
4,1,0,0,0,0,1,1,1,0,1,0,1,1,1,-1.41,10.08,-4.08
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-2.43,9.85,-3.22
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-2.31,9.65,-4.43
4,1,0,0,0,0,1,1,1,1,1,1,0,1,1,-1.02,10.40,0.98
4,1,0,0,0,0,1,1,1,0,1,0,1,1,1,-2.31,9.89,-3.45
4,1,0,0,0,0,1,1,1,1,1,1,0,1,1,-2.71,10.51,-0.82
4,1,0,0,0,0,1,1,1,1,1,1,0,1,1,-2.71,10.04,-1.57
4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.18,-0.51,-10.51
4,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-1.02,4.04,-9.92
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-1.29,9.61,-4.28
4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,-1.57,9.65,-5.10
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-6.94,9.14,-1.69
4,1,0,0,0,0,1,1,1,0,1,0,0,1,0,-3.37,9.85,-1.77
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-2.94,9.45,-4.28
4,1,0,0,0,0,1,1,1,0,1,0,1,1,1,-1.96,9.61,-5.06
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-2.12,9.92,-4.55
4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,-1.02,10.00,-4.28
4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,-2.75,9.22,-4.35
4,1,0,0,0,0,1,1,1,0,1,0,1,1,1,-1.69,10.28,-4.43
4,1,0,0,1,0,1,1,1,0,1,1,0,1,1,-2.55,10.24,-1.33
4,1,0,0,0,0,1,1,1,0,1,0,0,1,1,-3.80,9.85,-1.22
4,1,1,0,0,0,1,1,1,0,1,0,1,1,1,-1.26,10.00,-4.31
4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,-1.73,9.22,-5.02
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-1.61,9.73,-4.67
4,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1.77,9.41,-4.43
4,1,1,0,0,0,1,1,1,1,1,1,0,1,1,-1.92,10.43,-1.45
4,1,1,0,0,0,1,1,1,1,1,1,1,1,1,-3.18,9.10,-4.55
4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,-4.24,8.79,-4.79
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-3.37,9.38,-4.00
4,1,0,0,0,0,1,1,1,0,1,0,0,1,1,-3.10,10.59,-1.02
4,1,0,0,0,0,1,1,1,0,1,0,1,1,1,-2.04,10.47,-1.80
4,1,0,0,0,0,1,1,1,0,1,0,1,1,1,-4.63,9.73,-2.94
4,1,0,1,0,0,1,1,1,0,1,0,1,1,1,-1.29,10.55,-4.51
4,1,0,0,0,0,1,1,1,1,1,0,0,1,1,-2.98,10.20,-2.12
4,1,1,0,0,0,1,1,1,1,1,0,1,1,1,-2.43,9.85,-3.88
4,1,0,0,0,0,1,1,1,0,1,0,0,1,1,-3.02,10.04,-2.82
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-0.20,10.24,-3.41
4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,-3.73,9.81,-3.06
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-2.28,9.77,-4.82
4,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0.00,9.45,-6.20
4,1,0,0,0,0,1,1,1,0,1,0,1,1,1,-1.29,9.89,-4.90
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-1.77,9.89,-4.35
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-1.69,10.12,-3.61
4,1,0,0,0,0,1,1,1,0,1,1,0,1,1,-3.61,10.16,-1.18
4,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-3.84,9.38,-2.43
4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,-2.82,9.85,-3.61
