label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
7,1,1,1,1,0,0,1,1,1,1,0,1,1,1,-0.16,7.14,-8.08
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.20,8.67,-6.79
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.71,8.16,-8.36
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-0.16,7.96,-7.45
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-1.02,8.79,-6.51
7,1,1,1,1,1,0,0,1,0,0,0,0,0,0,-0.82,9.89,-4.39
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-0.20,9.57,-5.33
7,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.86,8.79,-5.92
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1.06,8.12,-5.92
7,1,0,1,1,1,0,0,1,0,0,0,0,0,0,-0.63,10.83,-2.86
7,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-0.90,8.67,-6.83
7,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1.84,7.81,-7.45
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,7.45,-8.36
7,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.84,8.12,-7.45
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-2.24,7.77,-6.94
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-1.14,8.75,-6.67
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-0.90,8.04,-7.49
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0.43,8.75,-6.55
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-2.28,9.65,-5.81
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1.77,8.79,-6.32
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-0.24,9.38,-5.06
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-0.98,8.47,-6.94
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.02,8.59,-5.65
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-5.45,9.22,1.92
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1.26,7.77,-8.16
7,1,1,1,1,1,0,0,1,0,0,0,0,0,0,-1.37,10.08,-4.12
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,2.04,8.87,-6.39
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-0.31,8.98,-6.20
7,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2.39,8.47,-6.83
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-0.94,8.63,-7.34
7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-10.47,1.61,-1.77
7,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.02,8.75,-6.63
7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0.71,7.69,-7.57
7,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.53,2.90,-3.53
7,1,1,1,1,1,0,0,1,0,0,0,0,0,0,-1.26,10.16,-3.37
7,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0.75,6.86,-8.71
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-4.04,9.38,1.37
7,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.43,7.57,-7.65
