label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.24,3.18,-5.73
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.65,2.94,-4.94
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.94,2.71,-5.30
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.30,2.98,-2.79
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.18,3.84,-4.39
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.67,4.39,-4.39
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.16,4.31,-3.45
8,1,1,1,0,1,1,1,1,1,1,0,1,1,1,-9.73,4.24,-1.84
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.06,1.77,-5.37
8,1,1,1,1,1,0,1,1,1,1,0,1,1,1,-9.06,5.22,-2.04
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.10,4.35,-4.90
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.94,4.00,-3.77
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.18,3.33,-4.51
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.45,3.30,-3.88
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.06,4.71,-3.02
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.53,2.39,-4.12
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.34,3.77,-3.02
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.45,3.92,-3.14
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.06,3.88,-4.16
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.10,3.22,-3.84
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.90,3.06,-5.41
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-10.00,1.41,-2.59
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.34,3.57,-3.06
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.65,2.94,-3.41
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.96,2.04,-4.79
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.83,5.02,-3.96
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.41,3.33,-4.35
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-10.12,3.53,-3.49
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.18,3.65,-4.28
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.22,4.55,-1.26
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-10.28,2.55,-2.75
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-4.24,8.20,4.31
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.22,2.82,-3.53
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.55,5.14,-2.20
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.63,4.24,-3.33
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.85,2.31,-3.84
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.61,3.37,-3.22
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.90,3.96,-3.73
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.00,3.88,-5.30
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.41,3.61,-4.28
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.87,4.08,-4.43
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.85,2.00,-3.53
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.94,1.45,-7.30
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.81,2.39,-4.16
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.73,1.69,-3.14
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.75,2.71,-5.02
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.65,3.41,-3.14
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.22,-0.43,-6.32
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.81,2.28,-3.61
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.61,2.08,-4.24
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.85,2.00,-3.49
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.61,3.22,-4.08
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.45,2.71,-3.37
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.26,3.10,-5.14
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.94,2.20,-2.86
8,1,1,1,1,1,0,1,1,1,1,0,1,1,1,-9.65,4.86,-3.41
