label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
9,0,0,1,1,0,1,1,1,0,1,0,1,0,0,-0.35,10.47,0.31
9,0,0,1,1,0,1,1,1,1,1,0,1,0,0,-0.98,9.49,0.08
9,1,0,1,1,1,1,1,1,0,1,1,1,0,0,2.59,10.28,-1.33
9,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0.94,10.55,-0.82
9,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0.75,10.55,-1.65
9,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1.33,10.63,-2.31
9,0,0,1,1,0,1,0,1,0,1,0,0,0,0,-3.45,9.57,1.88
9,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0.04,9.57,0.04
9,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0.39,10.67,-0.63
9,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-2.12,-7.02,-7.77
9,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0.55,10.59,0.59
9,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1.45,10.63,-1.22
9,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1.49,10.98,-1.22
9,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0.51,10.63,0.55
9,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1.10,10.55,-1.10
9,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1.33,11.02,-0.63
9,1,0,1,1,0,1,1,1,0,1,0,1,0,0,2.35,10.67,-1.37
9,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0.00,8.39,-0.67
9,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1.61,10.59,-0.63
9,0,0,1,1,0,1,0,1,1,1,0,0,0,0,-3.33,8.39,3.45
9,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-7.88,2.59,-4.00
9,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0.43,10.75,0.27
9,1,0,1,1,1,1,1,1,1,1,0,1,0,0,2.90,10.04,-1.65
9,1,0,1,1,1,1,1,1,0,1,0,1,0,0,4.04,9.53,-0.67
9,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-2.16,-7.10,-7.73
