label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
11,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-5.41,1.14,7.61
11,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.57,4.31,-9.38
11,1,0,0,1,0,0,0,1,0,1,0,1,1,1,-1.96,9.96,-1.33
11,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-6.51,6.51,-3.53
11,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-9.30,1.88,-4.59
11,1,0,0,0,0,0,0,1,1,1,0,0,1,1,-5.77,8.90,-0.98
11,1,1,1,1,1,1,0,1,1,1,0,1,1,1,2.04,3.30,-9.85
11,0,0,1,1,0,1,1,1,1,1,0,1,0,0,-6.47,10.16,2.79
11,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4.43,2.00,-10.59
11,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.02,1.29,-5.18
11,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0.27,10.28,-0.67
11,1,0,0,0,0,0,0,1,1,1,1,1,1,1,-5.96,8.59,-1.33
11,0,0,0,0,0,0,0,1,1,1,0,1,1,1,-5.18,9.18,-1.06
11,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-7.61,-4.00,-8.04
11,0,0,0,0,0,0,0,1,0,1,0,1,1,1,-0.67,10.43,0.86
11,1,0,0,1,0,1,1,1,1,1,1,1,1,1,-4.51,8.51,-0.90
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.39,3.26,-5.37
11,1,0,1,1,0,1,0,1,0,1,0,0,0,0,-3.49,10.71,0.67
11,0,0,0,0,0,0,0,1,1,1,0,1,1,1,-4.35,9.69,0.47
11,1,1,0,0,0,0,0,1,1,1,0,1,1,1,-5.92,8.98,-1.02
11,0,0,0,0,0,0,0,1,0,1,0,1,1,1,-3.65,9.89,-2.08
11,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.83,1.73,-6.20
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-10.00,-0.71,-2.63
11,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.92,2.08,-4.00
11,0,0,0,0,0,1,1,1,0,1,0,1,1,1,-2.28,10.00,2.55
11,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.31,1.41,-10.16
11,0,0,0,0,0,0,0,1,0,1,1,1,1,1,-1.22,10.67,-3.18
11,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4.04,4.75,-8.75
11,0,0,0,0,0,0,0,1,0,1,0,1,1,1,-2.20,9.65,0.08
11,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1.41,8.43,-6.39
11,0,0,0,0,0,0,0,1,1,1,0,1,1,1,-4.08,9.53,0.75
11,0,0,0,0,0,0,0,1,0,1,1,1,1,1,-3.06,9.96,-0.63
11,1,0,0,0,0,0,0,1,1,1,0,1,1,1,-4.63,9.41,-3.14
11,0,0,0,0,0,0,0,1,1,1,0,1,1,1,-7.10,8.00,-0.08
11,1,1,0,0,0,0,0,1,1,1,1,1,1,1,-6.63,7.53,-4.20
11,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1.29,9.57,-2.28
11,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-5.53,8.75,0.59
11,0,0,0,0,0,1,1,1,0,1,0,0,0,0,-2.08,9.73,3.18
11,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0.51,10.51,2.43
