label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
15,1,0,1,1,0,1,1,1,0,1,0,1,1,1,2.43,9.10,3.41
15,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.82,10.36,0.04
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.24,3.92,-0.16
15,1,1,1,1,1,1,1,1,1,0,0,1,1,1,-3.30,3.77,-9.41
15,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-0.20,9.30,1.69
15,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0.55,8.75,4.75
15,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-3.18,4.75,-0.51
15,1,1,1,1,1,0,1,1,1,1,0,1,1,1,-4.16,6.04,-8.94
15,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-0.94,8.39,-6.59
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.67,9.18,-2.75
15,1,0,1,1,0,1,1,1,1,1,1,1,1,1,-5.53,8.43,2.00
15,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1.88,8.63,-6.59
15,1,1,1,1,1,0,1,1,1,1,0,1,1,1,-0.04,6.79,-7.77
15,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1.49,9.26,3.84
15,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0.31,9.81,2.79
15,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1.88,4.67,-9.49
15,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-2.79,9.10,-5.33
15,1,0,1,1,1,1,1,1,1,1,0,1,1,1,-0.08,9.92,2.67
15,1,0,1,1,0,1,1,1,0,1,1,1,1,1,-0.31,9.57,3.33
15,1,0,1,1,0,1,1,1,0,1,0,1,1,1,-0.04,9.26,4.24
15,1,0,1,1,0,1,1,1,0,1,1,1,1,1,-0.51,10.28,4.16
15,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.36,4.28,-6.43
15,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-4.12,7.14,-7.18
15,1,0,1,1,0,1,1,1,1,1,0,1,1,1,-3.02,8.83,3.84
15,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1.22,9.77,2.86
15,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1.22,9.65,2.98
15,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-8.24,4.79,-4.16
15,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9.73,4.43,-0.35
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.71,6.67,-6.20
15,1,0,1,1,0,1,1,1,0,1,0,1,1,1,2.59,9.30,3.37
15,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-9.10,4.67,1.18
