label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
16,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-6.55,5.41,-6.08
16,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2.04,-3.22,-9.92
16,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-2.79,-6.12,-9.45
16,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-0.12,-4.55,-9.89
16,1,1,1,1,1,1,1,1,1,0,1,1,0,1,-1.65,-3.18,-10.16
16,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-0.47,-0.12,-10.75
16,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0.27,-3.80,-10.32
16,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.14,-4.04,-10.00
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.24,9.30,-5.73
16,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-1.65,-4.98,-9.38
16,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1.06,-1.69,-10.32
16,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0.67,10.08,2.43
16,1,0,1,1,0,1,1,1,1,1,0,1,1,1,-0.55,9.73,3.14
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00,9.57,-5.33
16,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2.55,5.88,-9.30
16,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.06,-1.77,-9.96
16,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1.06,9.14,4.08
16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,-0.35,-3.77,-10.00
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.51,9.34,-5.53
16,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1.14,10.20,1.57
16,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0.71,-3.69,-9.89
16,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-0.75,-3.96,-9.57
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.35,-2.55,-10.12
16,1,0,1,1,1,1,1,1,0,1,1,1,1,1,3.33,6.94,5.73
16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,-6.08,-1.18,-8.36
16,1,1,0,0,0,1,1,1,1,1,1,1,1,1,-5.14,6.32,-2.75
16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,-1.45,-2.20,-10.87
16,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1.10,9.92,2.47
16,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-2.00,-4.86,-9.22
16,1,1,1,1,1,1,1,1,1,0,1,1,0,1,-1.57,-3.30,-10.40
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8.16,4.20,-5.10
16,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1.02,9.89,2.71
16,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-2.31,-4.90,-9.61
16,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0.04,-4.67,-9.53
16,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.51,-3.22,-10.28
16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,-2.71,-1.69,-10.40
16,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-0.78,-5.49,-9.92
16,1,0,1,1,0,1,1,1,1,1,0,1,1,1,-1.61,9.41,4.04
16,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0.08,-3.37,-10.16
16,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.14,-3.33,-9.77
16,1,1,1,1,1,1,1,1,1,0,1,1,0,1,-0.43,-4.20,-9.96
16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,-0.47,-3.88,-10.12
16,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-0.55,-3.80,-9.61
16,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.94,-4.59,-9.89
16,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.37,-3.88,-10.00
16,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2.55,-4.16,-8.55
16,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-0.43,-7.92,-10.47
16,1,1,1,1,1,1,1,1,1,0,0,1,1,1,-8.36,0.24,-7.30
16,1,0,1,1,0,1,1,1,1,1,0,1,1,1,-1.77,10.40,-0.43
16,1,0,1,1,0,1,1,1,1,1,0,1,1,1,-1.96,10.47,-0.51
16,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-2.71,-5.10,-9.26
16,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2.43,-1.29,-9.45
16,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-1.02,-4.08,-10.12
16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,-0.51,-3.80,-10.08
16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,-6.59,0.51,-7.61
16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,-1.29,-3.37,-9.02
16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,-0.59,-3.88,-10.00
16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,-1.26,-3.37,-9.77
16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,-0.47,-3.73,-10.00
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.71,5.22,-8.39
16,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-2.00,-4.63,-8.79
16,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-0.47,-4.47,-10.04
16,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0.98,9.89,2.51
16,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-0.67,-5.22,-9.10
16,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.00,-5.37,-10.00
16,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-0.47,-4.28,-9.85
16,1,0,1,1,0,1,1,1,0,1,0,1,1,1,2.04,9.45,3.49
16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0.67,-1.73,-10.51
