label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.26,6.35,-8.83
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.10,9.10,-5.81
19,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1.18,8.47,-7.22
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.39,4.43,-9.77
19,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-0.39,7.34,6.83
19,1,0,1,1,0,1,1,1,0,1,0,1,1,1,-0.16,4.94,9.92
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-2.79,8.67,-5.96
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,5.88,-9.18
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.51,4.00,-10.32
19,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-6.86,7.30,-0.63
19,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.88,8.90,0.39
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.39,7.88,-7.18
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.96,5.84,-10.79
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-2.35,7.77,-7.30
19,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.71,5.06,-9.65
19,0,0,0,1,0,1,1,1,1,1,0,1,1,1,-7.53,7.18,1.26
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.18,7.26,-8.24
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-3.30,8.32,-6.24
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.41,8.32,-6.20
19,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.94,5.88,-8.75
19,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-6.28,7.61,2.63
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.37,8.39,-6.08
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.04,8.79,-6.16
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.45,8.32,-6.12
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-3.33,8.32,-6.28
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-3.73,8.24,-6.08
19,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.86,6.94,2.59
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.55,9.14,-5.53
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-0.90,8.94,-6.12
19,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-0.55,9.41,5.06
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1.96,8.98,-5.84
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-3.26,8.32,-6.28
19,1,0,1,1,1,1,1,1,1,1,0,1,1,0,2.47,10.00,1.22
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.45,8.39,-5.96
19,1,0,0,1,0,0,0,1,0,1,0,1,1,1,-2.16,9.85,2.35
19,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1.18,9.34,4.00
19,1,0,1,1,0,1,1,1,0,1,1,0,1,1,-4.75,-1.02,7.69
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.10,6.12,-8.90
19,1,0,1,1,1,1,1,1,1,1,1,1,1,0,4.31,8.63,3.96
19,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2.82,9.30,3.02
19,1,0,1,1,1,1,1,1,1,1,0,1,1,1,-2.75,9.81,-3.49
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.90,5.88,-9.22
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-6.20,6.86,-2.98
19,1,0,1,1,1,1,1,1,1,1,0,1,1,0,2.71,9.10,3.49
19,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1.26,8.63,4.67
19,1,0,1,1,1,1,1,1,1,1,1,1,1,0,-0.75,10.47,0.90
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.69,8.36,-5.88
19,1,0,0,1,0,1,1,1,1,1,0,1,1,1,-6.63,6.71,-0.20
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.53,8.28,-6.28
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.27,6.59,-8.90
19,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1.80,9.81,-4.90
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-2.82,8.71,-6.04
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-2.71,8.98,-5.45
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-2.63,8.90,-5.81
19,0,0,1,1,0,1,1,1,1,1,0,0,1,0,-3.30,-2.79,7.92
