label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
22,1,0,0,0,0,1,0,1,1,1,0,1,1,0,-3.53,8.98,-4.86
22,1,0,0,0,0,1,0,1,1,1,0,1,1,0,-2.71,9.49,-4.71
22,1,1,0,1,1,1,1,1,1,0,0,1,1,0,-10.04,1.80,-2.63
22,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.45,1.02,-9.30
22,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-6.16,1.02,-8.94
22,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-10.00,1.96,-2.39
22,1,1,0,0,0,1,0,1,0,1,1,1,1,0,-4.47,11.30,-1.73
22,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0.63,8.83,-6.24
22,1,1,0,0,0,1,0,1,1,1,1,1,1,0,-1.69,7.49,-7.77
22,1,1,0,0,0,1,0,1,1,1,1,1,1,0,-4.24,9.85,-0.27
22,1,0,0,0,0,1,0,1,0,1,0,1,1,0,-2.47,10.51,0.55
22,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-3.61,8.79,-5.26
22,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-3.49,9.06,-4.47
22,1,1,0,0,0,1,0,1,1,1,1,1,1,0,-0.12,8.24,-6.94
22,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-1.41,6.43,-8.83
22,1,0,0,0,0,1,0,1,0,1,0,1,1,0,-2.35,9.81,-4.43
22,1,1,0,0,0,1,0,1,1,1,1,1,1,0,-3.61,9.14,-4.00
22,1,1,0,0,0,1,0,1,0,1,1,1,1,0,-3.10,9.18,-4.82
22,1,1,0,0,0,1,0,1,1,1,1,1,1,0,-1.73,7.14,-8.00
22,1,1,0,0,0,1,0,1,0,1,0,1,1,0,-1.14,9.26,-6.39
22,1,0,0,0,0,1,0,1,0,1,0,1,1,0,2.04,9.89,-1.06
22,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1.41,10.47,-3.18
22,0,0,0,0,0,1,0,1,0,1,1,0,1,0,-4.86,6.08,5.57
22,1,1,1,1,1,1,0,1,1,1,1,1,1,0,4.20,1.10,-9.41
22,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.33,1.02,-9.38
22,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-1.41,7.41,-7.77
22,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.06,0.55,-6.39
22,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2.24,2.04,-10.04
22,1,0,0,0,0,1,0,1,1,1,0,1,1,0,-4.47,9.81,-2.43
22,1,1,0,0,0,1,0,1,0,1,0,1,1,0,-0.43,8.43,-7.14
22,1,1,0,1,1,1,1,1,1,0,1,1,1,0,-10.04,1.57,-1.49
22,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-5.26,0.86,-9.41
22,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-1.49,7.53,-7.85
22,1,0,0,0,0,1,0,1,0,1,0,1,1,0,-0.24,10.00,-4.82
22,1,1,0,0,0,1,0,1,1,1,1,1,1,0,-1.96,7.02,-8.12
22,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-6.04,8.12,-2.35
22,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0.35,9.41,-4.94
22,1,0,0,0,0,1,0,1,0,1,0,1,1,0,-5.65,8.59,0.35
22,1,0,0,0,0,1,0,1,1,1,1,1,1,0,-0.27,10.67,-1.65
22,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-1.80,6.71,-8.63
22,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.86,-1.29,-10.83
22,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-3.06,9.18,-4.79
22,1,1,0,0,0,1,0,1,1,1,1,1,1,0,-3.84,7.81,-5.84
22,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-0.82,-0.75,-11.10
22,1,1,0,0,0,1,0,1,0,1,0,1,1,0,-0.71,9.85,-6.75
22,1,1,0,0,0,1,0,1,0,1,1,1,1,0,-0.55,8.79,-5.57
22,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0.63,-0.94,-10.71
22,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-2.51,9.69,-4.67
22,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-2.63,8.43,-4.08
22,1,1,0,1,0,1,1,1,1,0,0,1,1,0,-1.96,0.35,-10.94
22,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1.26,-2.12,-10.47
22,1,0,0,0,0,1,0,1,0,1,1,1,1,0,-0.51,10.00,-4.71
22,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-6.08,1.06,-8.94
22,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-3.53,9.14,-4.71
22,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0.47,-2.24,-10.67
22,1,1,0,0,0,1,1,1,1,1,1,1,1,0,-9.77,4.79,-4.79
22,1,1,1,1,1,1,0,1,1,1,0,1,1,0,2.08,0.20,-11.26
22,1,1,0,0,0,1,0,1,0,1,1,1,1,0,-0.35,7.45,-6.39
22,1,1,0,0,0,1,0,1,1,1,0,1,1,0,-1.45,7.02,-8.28
